Dise No.,Rural / Urban,Year,Block Code,Block Name,Village Code,Village Name,Zonal Office,CRC Code,CRC No.,Pin Code,School Name,School Status Code,School Status,Management Code,Management Name,Category Code,Category Name,School Type Code,School Type Name,Lowest Class,Highest Class,Medium Code,Medium,Pre Primary Boys,Pre Primary Girls,Pre Primary Total,1 Boys,1 Girls,1 Total,2 Boys,2 Girls,2 Total,3 Boys,3 Girls,3 Total,4 Boys,4 Girls,4 Total,5 Boys,5 Girls,5 Total,6 Boys,6 Girls,6 Total,7 Boys,7 Girls,7 Total,8 Boys,8 Girls,8 Total,9 Boys,9 Girls,9 Total,10 Boys,10 Girls,10 Total,11 Boys,11 Girls,11 Total,12 Boys,12 Girls,12 Total,1_5 Boys,1_5 Girls,1_5 Total,6_8 Boys,6_8 Girls,6_8 Total,1_8 Boys,1_8 Girls,1_8 Total,9_12 Boys,9_12 Girls,9_12 Total,1_12 Boys,1_12 Girls,1_12 Total
27251400112,Urban,2012-13,272514,Aundh,272514001,AUNDH GAON,Aundh,2725140001,Aundh CRC No. 1,411007,P. M. C. 54 B (Temp),1,Closed,9,No Response,9,No Response,9,No Response,1,12,98,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27251400201,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,P. M. C. 151 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,39,24,63,60,45,105,40,60,100,67,52,119,48,53,101,61,33,94,54,32,86,37,44,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,243,519,91,76,167,367,319,686,0,0,0,367,319,686
27251400202,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,P. M. C. 152 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,0,0,0,50,57,107,77,82,159,91,82,173,72,79,151,56,36,92,46,37,83,33,47,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,336,682,79,84,163,425,420,845,0,0,0,425,420,845
27251400203,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,BALWADKAR VIDHYALAYA,0,Operational,4,Pvt. Aided,5,Up. Pr. Secondary and Higher Sec,3,Co-Education,5,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,35,92,44,40,84,49,44,93,99,93,192,89,66,155,72,68,140,136,52,188,109,41,150,57,35,92,192,177,369,249,212,461,406,227,633,655,439,1094
27251400204,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,DEVDHAR KRIDA PRABHODINI,0,Operational,4,Pvt. Aided,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education,3,12,10,Marathi,0,0,0,0,0,0,0,0,0,2,4,6,4,11,15,13,9,22,18,10,28,27,14,41,23,12,35,22,14,36,30,8,38,13,7,20,12,4,16,19,24,43,68,36,104,87,60,147,77,33,110,164,93,257
27251400205,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,KHANDERAI PRATISHTAN PRI.,0,Operational,19,Unaided,1,Primary,3,Co-Education,1,4,10,Marathi,65,49,114,59,51,110,67,32,99,55,52,107,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,185,416,0,0,0,231,185,416,0,0,0,231,185,416
27251400206,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411007,DYANKUR BALAJI MURKUTE,0,Operational,19,Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,52,55,107,31,31,62,19,21,40,26,22,48,20,24,44,32,19,51,28,11,39,39,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,117,245,67,17,84,195,134,329,0,0,0,195,134,329
27251400207,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411007,D B MURKUTE HIGH SCHOOL,0,Operational,19,Unaided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,60,24,26,50,19,14,33,0,0,0,0,0,0,0,0,0,28,32,60,28,32,60,43,40,83,71,72,143
27251400208,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,BHARATI VIDHYAPITH ENG,0,Operational,20,Permanent Unaided,3,Pr. with Up.Pr. sec. and H.Sec.,3,Co-Education,1,11,19,English,70,49,119,44,33,77,42,28,70,44,29,73,41,22,63,33,28,61,38,35,73,36,17,53,26,21,47,25,20,45,22,10,32,13,9,22,0,0,0,204,140,344,100,73,173,304,213,517,60,39,99,364,252,616
27251400209,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411045,ORCHID SCHOOL,0,Operational,20,Permanent Unaided,6,Pr. Up Pr. and Secondary Only,3,Co-Education,1,10,19,English,116,101,217,52,52,104,57,48,105,47,56,103,47,54,101,50,49,99,40,29,69,43,38,81,32,26,58,32,25,57,23,19,42,0,0,0,0,0,0,253,259,512,115,93,208,368,352,720,55,44,99,423,396,819
27251400210,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411021,VINDYANCHAL SCHOOL,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,77,79,156,43,35,78,30,35,65,38,35,73,23,22,45,28,18,46,30,20,50,26,20,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,145,307,56,40,96,218,185,403,0,0,0,218,185,403
27251400211,Urban,2012-13,272514,Aundh,272514002,BANER BALEWADI,Aundh,2725140001,Aundh CRC No. 1,411007,VIDYANCHAL SCHOOL ENG MEDI,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,16,42,25,20,45,19,18,37,0,0,0,0,0,0,0,0,0,26,16,42,26,16,42,44,38,82,70,54,124
27251400301,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,PMC 153 B,0,Operational,17,MNC,1,Primary,3,Co-Education,1,4,10,Marathi,0,0,0,46,48,94,66,59,125,63,45,108,59,54,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,206,440,0,0,0,234,206,440,0,0,0,234,206,440
27251400302,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411021,PMC 173 B,0,Operational,17,MNC,1,Primary,3,Co-Education,1,3,10,Marathi,0,0,0,6,1,7,1,3,4,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,18,0,0,0,8,10,18,0,0,0,8,10,18
27251400303,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,PMC SCH NO 82 B,0,Operational,17,MNC,4,Upper Primary only,3,Co-Education,5,7,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,87,63,41,104,58,38,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,40,87,121,79,200,168,119,287,0,0,0,168,119,287
27251400304,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,RATNAPRABHADEVI MOHITE PRI,0,Operational,4,Pvt. Aided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,43,50,93,31,26,57,39,27,66,30,24,54,34,26,60,36,16,52,36,16,52,33,21,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,119,289,69,37,106,239,156,395,0,0,0,239,156,395
27251400305,Urban,2012-13,272514,Aundh,272514003,VEDBHAVAN,Kothrud,2725140009,Aundh CRC No. 9,411038,RATNAPRABHADEVI MOHITE SEC,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,58,31,33,64,30,30,60,0,0,0,0,0,0,0,0,0,32,26,58,32,26,58,61,63,124,93,89,182
