Dise No.,Rural / Urban,Year,Block Code,Block Name,Village Code,Village Name,Zonal Office,CRC Code,CRC No.,Pin Code,School Name,School Status Code,School Status,Management Code,Management Name,Category Code,Category Name,School Type Code,School Type Name,Lowest Class,Highest Class,Medium Code,Medium,Pre Primary Boys,Pre Primary Girls,Pre Primary Total,1 Boys,1 Girls,1 Total,2 Boys,2 Girls,2 Total,3 Boys,3 Girls,3 Total,4 Boys,4 Girls,4 Total,5 Boys,5 Girls,5 Total,6 Boys,6 Girls,6 Total,7 Boys,7 Girls,7 Total,8 Boys,8 Girls,8 Total,9 Boys,9 Girls,9 Total,10 Boys,10 Girls,10 Total,11 Boys,11 Girls,11 Total,12 Boys,12 Girls,12 Total,1_5 Boys,1_5 Girls,1_5 Total,6_8 Boys,6_8 Girls,6_8 Total,1_8 Boys,1_8 Girls,1_8 Total,9_12 Boys,9_12 Girls,9_12 Total,1_12 Boys,1_12 Girls,1_12 Total
27251400821,Urban,2013-14,272514,Aundh,272514008,HINGNE S. S. SANSTHA,Warje - Karve Nagar,2725140008,Aundh CRC No. 8,411052,TREE HOUSE HIGH SCHOOL,0,Operational,8,Un-Recognised,1,Primary,3,Co-Education,1,5,19,English,391,313,704,60,69,129,38,27,65,16,19,35,21,23,44,23,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,148,306,0,0,0,158,148,306,0,0,0,158,148,306
27251400822,Urban,2013-14,272514,Aundh,272514008,HINGNE S. S. SANSTHA,Warje - Karve Nagar,2725140008,Aundh CRC No. 8,411052,ROSARY PRIMARY SCHOOL,0,Operational,8,Un-Recognised,1,Primary,3,Co-Education,1,4,19,English,0,0,0,14,11,25,15,7,22,3,2,5,12,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,24,68,0,0,0,44,24,68,0,0,0,44,24,68
27251400901,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,P. M. C.  SCHOOL NO 131 B,1,Closed,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,6,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27251400902,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,P. M. C.  SCHOOL NO 94 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,54,53,107,12,13,25,11,26,37,18,21,39,20,27,47,15,31,46,19,28,47,8,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,118,194,27,52,79,103,170,273,0,0,0,103,170,273
27251400903,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,PRATIBHA PAWAR VID,0,Operational,4,Pvt. Aided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,54,43,97,38,37,75,57,30,87,56,52,108,58,46,104,60,49,109,80,60,140,96,56,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,214,483,176,116,292,445,330,775,0,0,0,445,330,775
27251400904,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,BHARATI VIDHYAPITH VID. KANYA ,0,Operational,4,Pvt. Aided,7,Upper Pr. and Secondary,2,Girls,5,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,152,0,178,178,0,214,214,0,344,344,0,388,388,0,347,347,0,0,0,0,0,0,0,152,152,0,736,736,0,888,888,0,735,735,0,1623,1623
27251400905,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,SHRI SHANKARRAO MORE VIDH.,0,Operational,4,Pvt. Aided,5,Up. Pr. Secondary and Higher Sec,1,Boys,5,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,112,128,0,128,151,0,151,249,0,249,304,0,304,249,0,249,123,42,165,107,41,148,112,0,112,528,0,528,640,0,640,783,83,866,1423,83,1506
27251400906,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,PUNE JILHA PRA. SANGH MAD VIDH,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,44,138,75,37,112,76,28,104,0,0,0,0,0,0,0,0,0,94,44,138,94,44,138,151,65,216,245,109,354
27251400907,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,BHARATIY VIDYAPEETH PRI,0,Operational,4,Pvt. Aided,1,Primary,3,Co-Education,1,4,10,Marathi,101,157,258,69,83,152,56,93,149,67,92,159,57,98,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,366,615,0,0,0,249,366,615,0,0,0,249,366,615
27251400908,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,MIT SHARDA PRIMARY,0,Operational,4,Pvt. Aided,1,Primary,3,Co-Education,1,4,10,Marathi,275,165,440,146,90,236,129,100,229,162,71,233,148,93,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,354,939,0,0,0,585,354,939,0,0,0,585,354,939
27251400909,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,SANT DYANESHWAR MADH,0,Operational,4,Pvt. Aided,7,Upper Pr. and Secondary,3,Co-Education,5,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,82,244,162,96,258,162,94,256,181,73,254,177,99,276,150,102,252,0,0,0,0,0,0,162,82,244,505,263,768,667,345,1012,327,201,528,994,546,1540
27251400910,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,BHARATIY VIDYAPEETH ENG HSCH,0,Operational,20,Permanent Unaided,7,Upper Pr. and Secondary,3,Co-Education,5,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,23,60,29,14,43,40,14,54,39,23,62,33,18,51,22,20,42,0,0,0,0,0,0,37,23,60,108,51,159,145,74,219,55,38,93,200,112,312
27251400911,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411043,BHARATIY VIDYAPEETH PRI ENG,0,Operational,20,Permanent Unaided,1,Primary,3,Co-Education,1,4,19,English,128,98,226,48,32,80,42,29,71,46,25,71,47,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,113,296,0,0,0,183,113,296,0,0,0,183,113,296
27251400912,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,M I T SWAMI VIVEKANAND PRI SC,0,Operational,20,Permanent Unaided,1,Primary,3,Co-Education,1,4,19,English,276,191,467,121,67,188,113,69,182,106,79,185,104,88,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444,303,747,0,0,0,444,303,747,0,0,0,444,303,747
27251400913,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,MAEERS SARASWATI NEW ENGLISH SCH,0,Operational,20,Permanent Unaided,7,Upper Pr. and Secondary,3,Co-Education,5,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,85,177,91,61,152,86,57,143,93,90,183,110,77,187,97,78,175,0,0,0,0,0,0,92,85,177,270,208,478,362,293,655,207,155,362,569,448,1017
27251400914,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411038,MAMASAHEB MOHOL JR. COLLEGE,0,Operational,4,Pvt. Aided,11,Higher Secondary only/Jr. College,3,Co-Education,11,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,65,401,240,66,306,0,0,0,0,0,0,0,0,0,576,131,707,576,131,707
27251400915,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411052,Y.M.C. JR. COLLEGE,0,Operational,4,Pvt. Aided,11,Higher Secondary only/Jr. College,3,Co-Education,11,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,178,569,303,181,484,0,0,0,0,0,0,0,0,0,694,359,1053,694,359,1053
27251400916,Urban,2013-14,272514,Aundh,272514009,KELEWADI MIT,Kothrud,2725140007,Aundh CRC No. 7,411052,M.I.T. JR. COLLEGE,0,Operational,4,Pvt. Aided,11,Higher Secondary only/Jr. College,3,Co-Education,11,12,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,249,680,379,229,608,0,0,0,0,0,0,0,0,0,810,478,1288,810,478,1288
27251401001,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,P. M. C.  SCHOOL NO 134 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,27,33,60,20,21,41,41,10,51,60,10,70,41,1,42,54,0,54,26,0,26,27,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,42,258,53,1,54,269,43,312,0,0,0,269,43,312
27251401002,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,P. M. C.  SCHOOL NO 18 G,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,32,34,66,19,45,64,12,61,73,13,79,92,0,100,100,0,80,80,0,69,69,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,365,409,0,135,135,44,500,544,0,0,0,44,500,544
27251401003,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,RAJA SHRISHIVRAY PRATI MAD,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,100,237,143,97,240,132,100,232,0,0,0,0,0,0,0,0,0,137,100,237,137,100,237,275,197,472,412,297,709
27251401004,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,P B JOG MARATHI MADH,0,Operational,19,Unaided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,132,76,28,104,74,41,115,0,0,0,0,0,0,0,0,0,89,43,132,89,43,132,150,69,219,239,112,351
27251401005,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,ATHARV PRIMARY,0,Operational,19,Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,19,21,40,12,15,27,11,9,20,26,13,39,26,20,46,12,17,29,21,11,32,11,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,74,161,32,15,47,119,89,208,0,0,0,119,89,208
27251401006,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,SHRI SAGDURU BABAMAHARAJ SAHAS,0,Operational,4,Pvt. Aided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,187,174,361,116,88,204,119,89,208,97,100,197,103,92,195,141,90,231,153,102,255,144,88,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,459,1035,297,190,487,873,649,1522,0,0,0,873,649,1522
27251401007,Urban,2013-14,272514,Aundh,272514010,SHIVTIRTHANAGAR,Kothrud,2725140009,Aundh CRC No. 9,411038,ATHARV VIDYALAY SEC. MAR MED,0,Operational,8,Un-Recognised,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,8,4,12,0,0,0,0,0,0,0,0,0,0,0,0,9,8,17,9,8,17,8,4,12,17,12,29
27251401101,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411016,PMC 57B,0,Operational,17,MNC,1,Primary,3,Co-Education,1,4,10,Marathi,11,9,20,2,4,6,4,5,9,8,5,13,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,38,0,0,0,19,19,38,0,0,0,19,19,38
27251401102,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,PMC 2B,0,Operational,17,MNC,2,Primary with Upper Primary,1,Boys,1,7,10,Marathi,7,6,13,15,0,15,23,0,23,37,0,37,28,0,28,45,0,45,31,0,31,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,148,65,0,65,213,0,213,0,0,0,213,0,213
27251401103,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,P. M. C. 41 G,0,Operational,17,MNC,2,Primary with Upper Primary,2,Girls,1,7,10,Marathi,15,12,27,0,19,19,0,15,15,0,25,25,0,29,29,0,34,34,0,43,43,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,122,0,91,91,0,213,213,0,0,0,0,213,213
27251401104,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,SHIRISHKUMAR VIDYALAYA,0,Operational,17,MNC,10,Secondary with Higher Secondary,3,Co-Education,8,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,72,206,150,75,225,85,42,127,0,0,0,10,7,17,0,0,0,134,72,206,134,72,206,245,124,369,379,196,575
27251401105,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,P E S PRI,0,Operational,4,Pvt. Aided,1,Primary,3,Co-Education,1,4,10,Marathi,142,135,277,110,123,233,128,158,286,140,136,276,136,163,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,580,1094,0,0,0,514,580,1094,0,0,0,514,580,1094
27251401106,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,P E S GIRLS,0,Operational,4,Pvt. Aided,7,Upper Pr. and Secondary,2,Girls,5,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,184,0,221,221,0,227,227,0,340,340,0,377,377,0,278,278,0,0,0,0,0,0,0,184,184,0,788,788,0,972,972,0,655,655,0,1627,1627
27251401107,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,MODERN HIGH SCHOOL,0,Operational,4,Pvt. Aided,7,Upper Pr. and Secondary,1,Boys,5,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,212,242,0,242,305,0,305,362,0,362,454,0,454,287,0,287,0,0,0,0,0,0,212,0,212,909,0,909,1121,0,1121,741,0,741,1862,0,1862
27251401108,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411016,GURUKUL ENG MEDIUM,0,Operational,20,Permanent Unaided,6,Pr. Up Pr. and Secondary Only,3,Co-Education,1,10,19,English,101,88,189,28,33,61,32,33,65,36,32,68,32,36,68,34,32,66,34,31,65,30,24,54,42,19,61,39,11,50,28,31,59,0,0,0,0,0,0,162,166,328,106,74,180,268,240,508,67,42,109,335,282,617
27251401109,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,PUNE POLICE PUBLIC SCHOOL,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,0,0,0,104,64,168,98,55,153,99,46,145,95,69,164,75,52,127,80,34,114,67,38,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,286,757,147,72,219,618,358,976,0,0,0,618,358,976
27251401110,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,MODERN ENG MED,0,Operational,20,Permanent Unaided,1,Primary,3,Co-Education,1,4,19,English,146,101,247,73,42,115,66,51,117,64,47,111,76,38,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,178,457,0,0,0,279,178,457,0,0,0,279,178,457
27251401111,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,MODERN ENG HIGHSCH,0,Operational,20,Permanent Unaided,7,Upper Pr. and Secondary,3,Co-Education,5,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,42,112,70,45,115,70,39,109,62,43,105,56,47,103,57,65,122,0,0,0,0,0,0,70,42,112,202,127,329,272,169,441,113,112,225,385,281,666
27251401112,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,PUNE PUBLIC SCHOOL HISCHOOL,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,37,113,64,51,115,27,13,40,0,0,0,0,0,0,0,0,0,76,37,113,76,37,113,91,64,155,167,101,268
27251401113,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140003,Aundh CRC No. 3,411005,MODERN JR. COLLEGE,0,Operational,4,Pvt. Aided,11,Higher Secondary only/Jr. College,3,Co-Education,11,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,558,1217,633,486,1119,0,0,0,0,0,0,0,0,0,1292,1044,2336,1292,1044,2336
27251401114,Urban,2013-14,272514,Aundh,272514011,MODEL COLONY,Ghole Road,2725140006,Aundh CRC No. 6,411004,ANKUR VIDYAMANDIR (MARATHI),0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,8,19,English,0,0,0,6,1,7,5,1,6,7,2,9,10,2,12,2,4,6,5,1,6,4,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,10,40,10,2,12,40,12,52,0,0,0,40,12,52
27251401201,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,PMC 26 G,0,Operational,17,MNC,1,Primary,3,Co-Education,1,4,10,Marathi,28,36,64,10,17,27,15,22,37,18,24,42,23,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,80,146,0,0,0,66,80,146,0,0,0,66,80,146
27251401202,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,PMC 7 G,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,24,36,60,0,28,28,0,28,28,0,32,32,0,36,36,0,40,40,0,40,40,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,164,0,70,70,0,234,234,0,0,0,0,234,234
27251401203,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,PMC 42 B,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,32,28,60,19,0,19,12,0,12,26,0,26,29,0,29,51,0,51,50,0,50,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,137,91,0,91,228,0,228,0,0,0,228,0,228
27251401204,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,PMC VINI 13,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,4,7,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,3,6,9,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,12,6,12,18,8,22,30,0,0,0,8,22,30
27251401205,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,PMC 37 B KANNAD MED SCHOOL,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,5,Kannada,0,0,0,11,14,25,8,14,22,17,8,25,19,17,36,16,12,28,10,12,22,12,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,65,136,22,24,46,93,89,182,0,0,0,93,89,182
27251401206,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,HUTATMA RAJGURU HIGHSCH BOYS,0,Operational,4,Pvt. Aided,5,Up. Pr. Secondary and Higher Sec,3,Co-Education,5,12,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,26,0,26,42,0,42,69,0,69,86,0,86,68,0,68,115,54,169,79,43,122,18,0,18,137,0,137,155,0,155,348,97,445,503,97,600
27251401207,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411004,VIDYA VARDHINI HIGHSCHOOL,0,Operational,4,Pvt. Aided,8,Secondary Only,3,Co-Education,8,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22,68,58,35,93,29,30,59,0,0,0,0,0,0,0,0,0,46,22,68,46,22,68,87,65,152,133,87,220
27251401208,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,VIDYAVARDHINI PRIMARY,0,Operational,4,Pvt. Aided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,32,59,91,35,34,69,27,30,57,32,39,71,32,25,57,32,37,69,39,35,74,39,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,165,323,78,51,129,236,216,452,0,0,0,236,216,452
27251401209,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,HUTATMA RAJGURU VID GIRLS,0,Operational,4,Pvt. Aided,7,Upper Pr. and Secondary,2,Girls,5,10,10,Marathi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,33,33,0,39,39,0,82,82,0,66,66,0,52,52,0,0,0,0,0,0,0,28,28,0,154,154,0,182,182,0,118,118,0,300,300
27251401210,Urban,2013-14,272514,Aundh,272514012,PANDAVNAGAR,Ghole Road,2725140004,Aundh CRC No. 4,411016,KUSUMTAI BAGAL,0,Operational,19,Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,0,0,0,19,13,32,13,19,32,19,25,44,19,16,35,18,22,40,14,13,27,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,95,183,29,28,57,117,123,240,0,0,0,117,123,240
27251401301,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,PMC SCH NO 139 ,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,51,45,96,24,18,42,20,21,41,29,37,66,36,44,80,43,41,84,30,43,73,46,36,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,161,313,76,79,155,228,240,468,0,0,0,228,240,468
27251401302,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,VANAZ PARIWAR VIDYA MANDIR,0,Operational,4,Pvt. Aided,2,Primary with Upper Primary,3,Co-Education,1,7,10,Marathi,50,59,109,53,41,94,53,39,92,45,35,80,44,44,88,37,46,83,30,24,54,25,28,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,205,437,55,52,107,287,257,544,0,0,0,287,257,544
27251401303,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,VASUNDHARA PRI SC,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,52,47,99,21,15,36,19,10,29,22,16,38,22,12,34,17,9,26,14,3,17,21,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,62,163,35,8,43,136,70,206,0,0,0,136,70,206
27251401304,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,VISHVA NIRMAL VIDYALAY,0,Operational,20,Permanent Unaided,1,Primary,3,Co-Education,1,2,19,English,49,34,83,9,3,12,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,21,0,0,0,15,6,21,0,0,0,15,6,21
27251401305,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,VASUNDHARA SEC SCHOOL,0,Operational,20,Permanent Unaided,8,Secondary Only,3,Co-Education,8,10,19,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14,8,4,12,11,4,15,0,0,0,0,0,0,0,0,0,12,2,14,12,2,14,19,8,27,31,10,41
27251401306,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,CITI INTERNATIONAL SCHOOL,0,Operational,20,Permanent Unaided,6,Pr. Up Pr. and Secondary Only,3,Co-Education,1,10,19,English,225,195,420,84,58,142,83,53,136,73,63,136,65,54,119,41,48,89,57,44,101,37,26,63,25,20,45,22,18,40,21,21,42,0,0,0,0,0,0,346,276,622,119,90,209,465,366,831,43,39,82,508,405,913
27251401307,Urban,2013-14,272514,Aundh,272514013,PARMHANSNAGAR VANAZ CO,Kothrud,2725140009,Aundh CRC No. 9,411038,SAHAYADRI INTERNATIONAL SCHOOL,0,Operational,20,Permanent Unaided,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,79,44,123,22,11,33,18,7,25,13,6,19,9,5,14,8,2,10,5,5,10,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,31,101,9,8,17,79,39,118,0,0,0,79,39,118
27251401401,Urban,2013-14,272514,Aundh,272514014,POPULARNAGAR WARJE,Warje - Karve Nagar,2725140010,Aundh CRC No. 10,411052,P.M.C.SCHOOL NO.161 B ENG,0,Operational,17,MNC,2,Primary with Upper Primary,3,Co-Education,1,7,19,English,105,86,191,60,74,134,54,42,96,39,28,67,18,13,31,18,12,30,18,13,31,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,169,358,28,19,47,217,188,405,0,0,0,217,188,405
